moisture,humidity,temp,et,irrigate,water_need,severity
22.5,38.2,34.1,6.8,1,45,High
55.3,72.4,26.8,3.1,0,0,Low
18.7,42.1,35.5,7.2,1,52,High
48.9,65.3,29.4,4.2,0,8,Low
25.1,45.6,33.2,5.9,1,38,Medium
62.4,78.9,24.5,2.8,0,0,Low
15.9,35.7,36.8,6.5,1,58,High
40.2,55.1,30.8,4.8,1,22,Medium
28.6,48.3,32.7,5.4,1,35,Medium
70.1,82.4,22.9,2.3,0,0,Low
19.4,40.5,35.2,6.9,1,48,High
52.8,68.7,27.9,3.5,0,5,Low
24.3,44.8,33.8,5.7,1,40,Medium
65.2,75.3,25.6,2.9,0,0,Low
16.8,36.4,36.2,7.1,1,55,High
45.7,62.1,30.1,4.6,1,18,Medium
30.2,50.9,31.5,5.1,1,32,Medium
68.9,80.2,23.8,2.6,0,0,Low